surveyId;locationId;surveyDateStart;surveyDateEnd;surveyDays;firstRecordDate;speciesRecorded;cameraModel;bait;surveyPhoto;decimalLatitude;decimalLongitude;geodeticDatum;timeZone;country
D01S001;L0001;2018-10-17;2018-10-22;6;2018-10-20;1;Moultrie M80;No;No;-21.026957;-42.542472;EPSG:4236;America/Sao_Paulo;Brazil
D01S002;L0002;2018-10-17;2018-10-22;6;2018-10-21;1;Moultrie M80;No;No;-21.051149;-42.571247;EPSG:4236;America/Sao_Paulo;Brazil
D01S003;L0003;2018-10-17;2018-10-22;6;2018-10-21;1;Moultrie M80;No;No;-21.074263;-42.497613;EPSG:4236;America/Sao_Paulo;Brazil
D01S004;L0004;2018-07-31;2018-10-22;84;2018-07-31;2;Moultrie M80;No;No;-21.015282;-42.565239;EPSG:4236;America/Sao_Paulo;Brazil
D01S005;L0002;2018-07-28;2018-10-26;91;2018-08-01;2;Moultrie M80;No;No;-21.051149;-42.571247;EPSG:4236;America/Sao_Paulo;Brazil
D01S006;L0004;2018-07-28;2018-08-01;5;2018-07-31;1;Moultrie M80;No;No;-21.015282;-42.565239;EPSG:4236;America/Sao_Paulo;Brazil
D01S007;L0003;2018-10-20;2018-10-25;6;2018-10-21;1;Moultrie M80;No;No;-21.074263;-42.497613;EPSG:4236;America/Sao_Paulo;Brazil
D01S008;L0005;2019-02-04;2019-05-02;88;2019-02-08;1;Moultrie M80;No;No;-21.143155;-42.604069;EPSG:4236;America/Sao_Paulo;Brazil
D01S009;L0001;2019-04-28;2019-05-02;5;2019-04-29;1;Moultrie M80;No;No;-21.026957;-42.542472;EPSG:4236;America/Sao_Paulo;Brazil
D01S010;L0006;2019-07-23;2019-07-27;5;2019-07-24;1;Moultrie M80;No;No;-21.08238;-42.596011;EPSG:4236;America/Sao_Paulo;Brazil
D01S011;L0007;2019-07-23;2019-07-27;5;2019-07-23;1;Moultrie M80;No;No;-21.060049;-42.606989;EPSG:4236;America/Sao_Paulo;Brazil
D01S012;L0001;2019-10-23;2019-10-28;6;2019-10-24;1;Moultrie M80;No;No;-21.026957;-42.542472;EPSG:4236;America/Sao_Paulo;Brazil
D01S013;L0006;2019-10-19;2019-10-24;6;2019-10-20;2;Moultrie M80;No;No;-21.08238;-42.596011;EPSG:4236;America/Sao_Paulo;Brazil
